red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
866.5000,744.0000,-37.510474_-11.521028,519.0000,1895.5000,SC-24-Z-C,2009.0000,1477.5000,0.976622187075819,1,140444,SC-24-Z-C-VI
445.0000,536.5000,-37.510474_-11.519951,313.5000,2923.0000,SC-24-Z-C,1231.5000,630.5000,0.070142706582251,1,140465,SC-24-Z-C-VI
836.5000,767.5000,-37.510115_-11.519951,489.0000,2600.5000,SC-24-Z-C,1928.0000,1182.5000,0.463214444621721,1,140411,SC-24-Z-C-VI
445.0000,536.5000,-37.510115_-11.52031,313.5000,2923.0000,SC-24-Z-C,1231.5000,630.5000,0.895999527734568,1,140476,SC-24-Z-C-VI
1043.0000,990.0000,-37.509756_-11.521028,605.5000,2851.5000,SC-24-Z-C,2963.0000,1893.0000,0.358305077228366,1,140441,SC-24-Z-C-VI
1289.0000,1087.0000,-37.508679_-11.520669,592.0000,2968.0000,SC-24-Z-C,2840.0000,1688.0000,0.819360352483112,1,140459,SC-24-Z-C-VI
913.0000,900.0000,-37.508679_-11.519951,528.0000,3283.0000,SC-24-Z-C,2682.0000,1618.0000,0.694357390694636,1,140447,SC-24-Z-C-VI
1295.0000,1074.0000,-37.508679_-11.519592,662.0000,3302.0000,SC-24-Z-C,2808.0000,1891.0000,0.568121371694280,1,140412,SC-24-Z-C-VI
1219.5000,1033.5000,-37.509397_-11.518874,637.0000,2492.0000,SC-24-Z-C,2897.5000,2175.0000,0.944296460219244,1,140417,SC-24-Z-C-VI
643.0000,676.0000,-37.510115_-11.518874,425.0000,2984.0000,SC-24-Z-C,1603.0000,869.0000,0.967184288199761,1,140433,SC-24-Z-C-VI
952.0000,835.0000,-37.509756_-11.519233,546.0000,2620.0000,SC-24-Z-C,2174.0000,1523.0000,0.112762241198878,1,140467,SC-24-Z-C-VI
952.0000,835.0000,-37.509756_-11.519592,546.0000,2620.0000,SC-24-Z-C,2174.0000,1523.0000,0.200544017479724,1,140422,SC-24-Z-C-VI
534.0000,572.0000,-37.509756_-11.519951,363.0000,2792.0000,SC-24-Z-C,1637.0000,938.0000,0.640053215635713,1,140437,SC-24-Z-C-VI
741.0000,712.0000,-37.510833_-11.519233,478.0000,2535.0000,SC-24-Z-C,2122.0000,1086.0000,0.049045417838199,1,140439,SC-24-Z-C-VI
444.0000,515.0000,-37.510474_-11.518515,350.0000,3009.0000,SC-24-Z-C,1306.0000,620.0000,0.186243716766125,1,140419,SC-24-Z-C-VI
1257.5000,1050.5000,-37.510474_-11.517797,706.5000,2318.5000,SC-24-Z-C,2466.0000,1775.5000,0.558638086992713,1,140440,SC-24-Z-C-VI
1530.5000,1298.0000,-37.60884_-11.812895,867.0000,2523.5000,SC-24-Z-C,2910.5000,2240.0000,0.580363001331290,1,140359,SC-24-Z-C-VI
1530.5000,1298.0000,-37.608481_-11.812895,867.0000,2523.5000,SC-24-Z-C,2910.5000,2240.0000,0.009243920358321,1,140368,SC-24-Z-C-VI
1408.0000,1147.0000,-37.610276_-11.813613,765.0000,2180.0000,SC-24-Z-C,2813.0000,2254.0000,0.730788348417494,1,140354,SC-24-Z-C-VI
1302.5000,1139.5000,-37.610635_-11.813254,691.5000,2767.5000,SC-24-Z-C,2894.5000,2207.0000,0.660130771991053,1,140363,SC-24-Z-C-VI
1472.0000,1287.0000,-37.610635_-11.813613,791.0000,2417.0000,SC-24-Z-C,2813.0000,2100.0000,0.362350570802538,1,140375,SC-24-Z-C-VI
1019.0000,913.0000,-37.610635_-11.814331,562.0000,2843.0000,SC-24-Z-C,2603.0000,1907.0000,0.050575802952769,1,140361,SC-24-Z-C-VI
1437.0000,1212.5000,-37.611353_-11.813972,766.5000,2608.0000,SC-24-Z-C,2780.5000,2020.0000,0.359146203293402,1,140351,SC-24-Z-C-VI
1038.0000,970.0000,-37.611712_-11.814331,673.0000,2917.5000,SC-24-Z-C,2197.0000,1485.5000,0.450081235389371,1,140360,SC-24-Z-C-VI
1399.0000,1126.0000,-37.611353_-11.813613,718.0000,2655.0000,SC-24-Z-C,2871.0000,2105.0000,0.780556716750609,1,140358,SC-24-Z-C-VI
1262.0000,1032.0000,-37.611353_-11.812895,631.0000,2377.0000,SC-24-Z-C,3028.0000,2447.0000,0.151511413437107,1,140362,SC-24-Z-C-VI
1258.0000,1000.0000,-37.612071_-11.812536,735.0000,2116.0000,SC-24-Z-C,2678.0000,2127.0000,0.477959544348674,1,140353,SC-24-Z-C-VI
