red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
920.0000,762.0000,-46.710208_-23.523116,618.5000,1296.0000,SF-23-Y-C,1410.5000,1240.5000,0.326567790456596,1,36283,SF-23-Y-C-VI
1096.5000,893.0000,-46.717029_-23.52527,657.0000,1762.5000,SF-23-Y-C,2258.5000,2011.5000,0.147174324985217,1,36232,SF-23-Y-C-VI
1144.0000,903.0000,-46.744672_-23.541425,670.0000,1750.0000,SF-23-Y-C,2166.0000,1772.0000,0.232536300305651,1,36364,SF-23-Y-C-VI
1088.0000,1007.0000,-46.736415_-23.529578,796.0000,1466.0000,SF-23-Y-C,1563.0000,1391.0000,0.830107554646296,1,36270,SF-23-Y-C-VI
996.0000,982.0000,-46.741082_-23.52168,761.0000,1943.5000,SF-23-Y-C,1641.0000,1305.0000,0.146603071447087,1,36031,SF-23-Y-C-VI
972.0000,955.5000,-46.740723_-23.516295,683.0000,1993.5000,SF-23-Y-C,1678.0000,1327.5000,0.859396493101145,1,36159,SF-23-Y-C-VI
1083.0000,927.5000,-46.746467_-23.511987,706.5000,1643.5000,SF-23-Y-C,2077.0000,1789.5000,0.113155496315220,1,36154,SF-23-Y-C-VI
1091.0000,898.0000,-46.71308_-23.489729,665.0000,1569.0000,SF-23-Y-C,2015.0000,1768.0000,0.977168310637777,1,270100,SF-23-Y-C-III
1087.0000,910.0000,-46.718465_-23.486498,659.0000,1799.0000,SF-23-Y-C,2213.0000,1884.0000,0.174004550160388,1,270123,SF-23-Y-C-III
1128.0000,909.5000,-46.718106_-23.490806,648.5000,1805.5000,SF-23-Y-C,2269.5000,1893.0000,0.214799462757882,1,270138,SF-23-Y-C-III
869.0000,785.0000,-46.722773_-23.488652,593.0000,1578.0000,SF-23-Y-C,1838.0000,1369.0000,0.508544567865438,1,270159,SF-23-Y-C-III
652.5000,640.5000,-46.743954_-23.479677,500.0000,1324.0000,SF-23-Y-C,1119.5000,915.5000,0.527393942334301,1,270027,SF-23-Y-C-III
1147.5000,928.5000,-46.718106_-23.477882,681.0000,1801.0000,SF-23-Y-C,2168.5000,1889.0000,0.956433875211897,1,270170,SF-23-Y-C-III
1156.0000,1009.0000,-46.707695_-23.460291,754.0000,2070.0000,SF-23-Y-C,1878.0000,1420.0000,0.776408927475878,1,270150,SF-23-Y-C-III
1283.0000,1157.0000,-46.694053_-23.458137,853.0000,1934.0000,SF-23-Y-C,2095.0000,1761.0000,0.877356783962515,1,270131,SF-23-Y-C-III
735.0000,712.0000,-46.690104_-23.458855,516.0000,1078.0000,SF-23-Y-C,1152.0000,847.0000,0.433756603722591,1,270167,SF-23-Y-C-III
1194.0000,1119.0000,-46.708413_-23.479318,867.0000,1725.0000,SF-23-Y-C,1986.0000,1668.0000,0.401815377350672,1,270136,SF-23-Y-C-III
1114.5000,989.5000,-46.707336_-23.489011,779.0000,1563.5000,SF-23-Y-C,2019.5000,1850.5000,0.639022031017939,1,270172,SF-23-Y-C-III
472.0000,513.0000,-46.696925_-23.483985,421.0000,1806.0000,SF-23-Y-C,1080.0000,574.0000,0.125407760343865,1,270149,SF-23-Y-C-III
987.5000,870.5000,-46.696925_-23.478959,711.0000,1486.0000,SF-23-Y-C,1662.0000,1488.5000,0.863312763894850,1,270114,SF-23-Y-C-III
1079.5000,908.5000,-46.682924_-23.47501,726.5000,1474.5000,SF-23-Y-C,1770.0000,1492.0000,0.142723901767264,1,270151,SF-23-Y-C-III
1122.0000,962.0000,-46.676462_-23.481472,745.0000,1557.0000,SF-23-Y-C,2040.0000,1772.0000,0.113498596873654,1,270177,SF-23-Y-C-III
1120.0000,967.0000,-46.67359_-23.467112,741.0000,1697.0000,SF-23-Y-C,2068.0000,1812.0000,0.121177296923163,1,270104,SF-23-Y-C-III
850.0000,721.0000,-46.695848_-23.445931,525.0000,2418.0000,SF-23-Y-C,1926.0000,1107.0000,0.670850569069592,1,270097,SF-23-Y-C-III
548.0000,542.0000,-46.703746_-23.444495,380.0000,1344.0000,SF-23-Y-C,1059.0000,675.0000,0.972237744258429,1,270110,SF-23-Y-C-III
675.5000,669.0000,-46.674667_-23.377721,422.5000,2692.5000,SF-23-Y-C,2119.5000,1182.5000,0.588974595303584,1,270054,SF-23-Y-C-III
1247.0000,1047.0000,-46.735697_-23.41039,753.5000,2868.0000,SF-23-Y-C,2412.0000,1675.0000,0.281632033603381,1,270192,SF-23-Y-C-III
900.0000,798.0000,-46.743595_-23.405364,605.0000,1854.0000,SF-23-Y-C,1875.0000,1363.0000,0.333215655579893,1,270190,SF-23-Y-C-III
788.0000,778.0000,-46.743595_-23.448085,564.0000,2330.0000,SF-23-Y-C,1785.0000,1278.0000,0.497321246493526,1,270047,SF-23-Y-C-III
1672.5000,1155.0000,-46.728158_-23.443418,683.5000,2396.0000,SF-23-Y-C,3214.5000,1742.5000,0.619214709444623,1,270179,SF-23-Y-C-III
1063.0000,956.0000,-46.717388_-23.450239,681.5000,1711.0000,SF-23-Y-C,1980.0000,1688.0000,0.094882988010866,1,270113,SF-23-Y-C-III
958.5000,891.5000,-46.72026_-23.46065,595.5000,2334.0000,SF-23-Y-C,2010.5000,1405.0000,0.670443054522639,1,270133,SF-23-Y-C-III
678.0000,668.0000,-46.745031_-23.45347,503.0000,1953.0000,SF-23-Y-C,1682.0000,1135.0000,0.599214665404216,1,270049,SF-23-Y-C-III
846.0000,766.5000,-46.747903_-23.449162,582.0000,1800.5000,SF-23-Y-C,1907.0000,1446.0000,0.163822692066928,1,270048,SF-23-Y-C-III
1171.0000,1040.0000,-46.751493_-23.437674,789.0000,1713.0000,SF-23-Y-C,1895.5000,1713.5000,0.093235451966758,1,270050,SF-23-Y-C-III
1490.0000,1173.5000,-46.751493_-23.413262,748.5000,2057.5000,SF-23-Y-C,2350.5000,1875.0000,0.583508439919051,1,270191,SF-23-Y-C-III
1116.0000,978.5000,-46.787752_-23.434084,677.0000,2371.5000,SF-23-Y-C,2262.0000,1732.0000,0.009557300603589,1,270051,SF-23-Y-C-III
967.0000,909.0000,-46.807138_-23.49655,675.0000,1993.0000,SF-23-Y-C,1894.0000,1470.0000,0.390925814085006,1,270037,SF-23-Y-C-III
1374.0000,1227.5000,-46.80642_-23.499781,953.0000,1964.5000,SF-23-Y-C,2185.0000,1869.5000,0.502531639482100,1,270030,SF-23-Y-C-III
1043.0000,1054.0000,-46.792419_-23.523475,766.0000,2108.0000,SF-23-Y-C,1962.0000,1439.0000,0.355633935120023,1,36011,SF-23-Y-C-VI
1184.0000,1082.0000,-46.786675_-23.499063,775.0000,2252.0000,SF-23-Y-C,2215.0000,1671.0000,0.638320912476299,1,270033,SF-23-Y-C-III
1470.0000,1224.0000,-46.800317_-23.493319,912.0000,2645.0000,SF-23-Y-C,2792.0000,2234.0000,0.274028947610631,1,270044,SF-23-Y-C-III
1194.0000,1032.5000,-46.789906_-23.492242,785.0000,1590.5000,SF-23-Y-C,2041.0000,1767.0000,0.133287621153915,1,270028,SF-23-Y-C-III
1315.5000,1196.5000,-46.784162_-23.502653,919.5000,1679.0000,SF-23-Y-C,2088.5000,1840.0000,0.308429604788307,1,36047,SF-23-Y-C-VI
